,category,brand_name,name,price,rating,url,num_review
81,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Skinny Foundation Retractable Brush,$7.00,3.1304,http://www.sephora.com/hide-sleek-skinny-foundation-retractable-brush-P393113,23
82,Face Brushes,SEPHORA COLLECTION,PRO Small Stippling Brush #42,$15.00,3.4706,http://www.sephora.com/pro-small-stippling-brush-42-P384583,69
83,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Large Teardrop Pointed Powder Brush (Otsubu),$32.00,4.1538,http://www.sephora.com/hakuho-do-sephora-pro-large-teardrop-pointed-powder-brush-otsubu-P398556,13
84,Face Brushes,Marc Jacobs Beauty,The Face II - Sculpting Foundation Brush No. 2,$48.00,4.7511,http://www.sephora.com/the-face-ii-sculpting-foundation-brush-no-2-P379418,229
85,Face Brushes,rms beauty,Skin2Skin Foundation Brush,$38.00,3.5,http://www.sephora.com/skin2skin-foundation-brush-P408969,8
86,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Wedge Sloping Powder Brush (Kusabi),$35.00,4.0588,http://www.sephora.com/hakuho-do-sephora-pro-wedge-sloping-powder-brush-kusabi-P398558,17
87,Face Brushes,KEVYN AUCOIN,The Concealer Brush,$32.00,5.0,http://www.sephora.com/the-concealar-brush-P393963,2
88,Face Brushes,Marc Jacobs Beauty,The Conceal - Full Cover Correcting Brush No. 14,$30.00,4.8396,http://www.sephora.com/the-conceal-full-cover-correcting-brush-14-P384921,106
89,Face Brushes,SEPHORA COLLECTION,Classic Contour Powder Brush #52,$15.00,2.7586,http://www.sephora.com/classic-contour-powder-brush-52-P379546,30
90,Face Brushes,bareMinerals,Precision Face Brush,$28.00,4.6568,http://www.sephora.com/precision-face-brush-P375373,339
91,Face Brushes,Urban Decay,The Finger Brush,$26.00,4.1905,http://www.sephora.com/the-finger-brush-P410552,21
92,Face Brushes,tarte,Powder Player Bamboo Pressed Powder Brush,$34.00,4.4186,http://www.sephora.com/powder-player-bamboo-pressed-powder-brush-P392850,43
93,Face Brushes,SEPHORA COLLECTION,PRO Contour Blender #77,$34.00,4.4655,http://www.sephora.com/pro-contour-blender-77-P393101,117
