,category,brand_name,name,price,rating,url,num_review,score
82,Value & Gift Sets,iluminage,Deluxe Skin Smoothing Set,$475.00,4.5,http://www.sephora.com/deluxe-skin-smoothing-set-P406918,2.0,4.98960498960499
83,Value & Gift Sets,NuFACE,White Rose Mini Facial Toning Device,$225.00,1.0,http://www.sephora.com/white-rose-mini-facial-toning-device-P401172,1.0,4.988986784140969
84,Value & Gift Sets,ghd,Copper Luxe Air Professional Hairdryer,$199.00,5.0,http://www.sephora.com/copper-luxe-air-professional-hairdryer-P414090,1.0,4.987804878048781
85,Curls & Coils,Rahua,Hair Detox And Renewal Treatment Kit,$98.00,3.0,http://www.sephora.com/hair-detox-renewal-treatment-kit-P410648,2.0,4.951456310679611
86,Curls & Coils,DevaCurl,Livin’ Large Super Curly Edition Set,$88.00,5.0,http://www.sephora.com/livin-large-super-curly-edition-set-P415712,2.0,4.947368421052632
87,Curls & Coils,Ouidad,Curl Quencher® Trial Set for Tight Curls,$36.00,4.0,http://www.sephora.com/curl-quencher-trial-set-for-tight-curls-P401134,1.0,4.939024390243903
88,Curls & Coils,DevaCurl,Bombshell Waves,$40.00,0.0,http://www.sephora.com/bombshell-waves-P417005,1.0,4.939024390243903
89,Curls & Coils,Vernon Francois,PURE~FRO® Conditioner,$33.00,5.0,http://www.sephora.com/pure-fro-conditioner-P416307,1.0,4.935897435897436
90,Dryness,Givenchy,Hydra Sparkling Recharging Luminescence Mask,$49.00,0.0,http://www.sephora.com/recharging-luminescence-moistuizing-mask-P395014,1.0,4.95
91,Dryness,SK-II,Skin Signature Melting Rich Cream,$260.00,3.2222,http://www.sephora.com/skin-signature-melting-rich-cream-P375862,9.0,4.917279411764706
92,Dryness,Guerlain,Super Aqua-Day Cream,$135.00,4.2857,http://www.sephora.com/super-aqua-day-cream-P386530,7.0,4.88013698630137
93,Dryness,Fresh,Crème Ancienne® Infusion Toner,$90.00,4.0,http://www.sephora.com/creme-ancienne-r-infusion-toner-P392618,5.0,4.873737373737374
