,category,brand_name,name,price,rating,num_review,score,word,dfidf
82,Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,$7.5,4.4093,2896.0,728.5,remover,0.6762100753281013
83,Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,$7.5,4.4093,2896.0,728.5,waterproof,0.5394792348402228
84,Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,$7.5,4.4093,2896.0,728.5,cotton,0.1415604172902225
85,Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,$10.0,4.4689,2174.0,549.5,cleansing,0.39426563754421057
86,Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,$10.0,4.4689,2174.0,549.5,removes,0.32060080694042364
87,Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,$10.0,4.4689,2174.0,549.5,waterproof,0.28977033127701096
88,Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,$10.0,4.4689,2174.0,549.5,remover,0.36548491991208293
89,Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,$10.0,4.4689,2174.0,549.5,cleanser,0.4654146192035881
90,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,529.75,removes,0.22516433188101256
91,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,529.75,mascara,0.3624359958789205
92,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,529.75,eyeliner,0.18445394122488476
93,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,529.75,remover,0.7351751077078844
94,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,529.75,waterproof,0.35072131541620166
95,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,504.75,removes,0.202194194956695
96,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,504.75,mascara,0.3781869504513556
97,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,504.75,eyeliner,0.17184825715968063
98,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,504.75,remover,0.6419665689875067
99,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,504.75,waterproof,0.494466667870626
100,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,909.25,clearing,0.1523689389193888
101,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,909.25,masks,0.3536429036465047
102,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,909.25,mud,0.24730263824575746
103,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,909.25,blackheads,0.46285264062684395
104,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,909.25,jar,0.18211236327352845
105,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,880.25,peeled,0.18541407288910833
106,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,880.25,pore,0.20769924891907135
107,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,880.25,peel,0.5442436804207471
108,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,880.25,heads,0.21826022767766817
109,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,880.25,blackheads,0.48473008414663205
110,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,709.25,origins,0.20678710774220155
