,category,brand_name,name,price,rating,num_review,score,similarity_score,word,dfidf
130,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,3081.75,0.522238,stain,0.3365216810386462
131,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,3081.75,0.522238,lipstick,0.3927889507376607
132,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,3081.75,0.522238,colors,0.279099856666126
133,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,3081.75,0.522238,lips,0.4379344212726584
134,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,3081.75,0.522238,lip,0.4630818284429787
135,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,3015.5,0.47659799999999997,lipsticks,0.22991388498447354
136,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,3015.5,0.47659799999999997,lipstick,0.7633222399611006
137,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,3015.5,0.47659799999999997,lips,0.3355585218503853
138,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,3015.5,0.47659799999999997,nars,0.25142278842457877
139,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,3015.5,0.47659799999999997,lip,0.21837039493329796
140,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,2148.75,0.646173,lipstick,0.3108305165217445
141,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,2148.75,0.646173,lips,0.42515071372981145
142,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,2148.75,0.646173,nars,0.1708373304541614
143,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,2148.75,0.646173,pencil,0.5067492941327577
144,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,2148.75,0.646173,lip,0.5439844887911438
145,Lipstick,Bite Beauty,Amuse Bouche Lipstick,$26.00,4.6529,4176.0,2095.5,0.48803599999999997,lipsticks,0.3475568812855298
