,category,brand_name,name,price,rating,url,num_review
8111,Face Primer,Too Cool For School,Perfect Day Makeup Fixer Spray,$20.00,4.3704,http://www.sephora.com/perfect-day-makeup-fixer-spray-P399178,28.0
8112,Face Primer,Natasha Denona,Face Glow Primer Hydrating Underbase,$35.00,4.2941,http://www.sephora.com/face-glow-primer-hydrating-underbase-P411828,17.0
8113,Face Primer,Natasha Denona,Magic Primer Anti-Shine Flawless Face Base,$55.00,3.8333,http://www.sephora.com/magic-primer-anti-shine-flawless-face-base-P411825,6.0
8115,Face Primer,The Estée Edit,Beam Team Hydrate + Glow,$42.00,4.1912,http://www.sephora.com/beam-team-hydrate-glow-P406600,869.0
8116,Face Primer,Shiseido,Refining Makeup Primer SPF 21,$30.00,4.2809,http://www.sephora.com/refining-makeup-primer-spf-21-P267817,89.0
8117,Face Primer,Shiseido,Glow Enhancing Primer,$30.00,4.1333,http://www.sephora.com/glow-enhancing-primer-P393809,15.0
8118,Face Primer,Dr. Brandt Skincare,pores no more® Luminizer Primer,$38.00,0.0,http://www.sephora.com/pores-no-more-luminizer-primer-P417002,1.0
8119,Face Primer,CLINIQUE,Superprimer Face Primer - Colour Corrects Redness,$28.00,2.8161,http://www.sephora.com/superprimer-face-primer-colour-corrects-redness-P382502,87.0
8120,Face Primer,Black Up,Perfect Matifying Primer,$44.00,4.1538,http://www.sephora.com/perfect-matifying-primer-P400920,15.0
8121,Face Primer,Colorescience,Mattifying Perfector Broad Spectrum SPF 20,$49.00,3.0,http://www.sephora.com/mattifying-perfector-broad-spectrum-spf-20-P414615,1.0
8122,Face Primer,Kate Somerville,Prime Protection Dual Action Primer SPF 15,$48.00,4.25,http://www.sephora.com/prime-protection-dual-action-primer-spf-15-P398058,16.0
8123,Face Primer,NUDESTIX,Blur Pencil,$24.00,3.0,http://www.sephora.com/blur-pencil-P395108,8.0
8124,Face Primer,Benefit Cosmetics,The Porefessional: License To Blot,$20.00,2.9082,http://www.sephora.com/the-porefessional-license-to-blot-P391790,98.0
8125,Face Primer,CLINIQUE,Superprimer Face Primer - Colour Corrects Discolourations,$28.00,3.0323,http://www.sephora.com/superprimer-face-primer-colour-corrects-discolourations-P382500,32.0
8126,Face Primer,Lancôme,La Base Pro Pore Eraser Perfecting Makeup Primer,$38.00,4.2647,http://www.sephora.com/la-base-pro-pore-eraser-perfecting-makeup-primer-P393806,34.0
8127,Face Primer,Black Up,Strobing Base - Primer,$44.00,5.0,http://www.sephora.com/strobing-base-primer-P416364,1.0
8128,Face Primer,stila,Aqua Glow Perfecting Primer,$28.00,3.575,http://www.sephora.com/aqua-glow-perfecting-primer-P395923,41.0
8131,Face Primer,Black Up,Primer Broad Spectrum Sunscreen SPF 25,$45.00,4.0,http://www.sephora.com/primer-broad-spectrum-sunscreen-spf-25-P409815,1.0
8132,Face Primer,Dermablend,Set + Refresh Long-lasting Makeup Setting Spray,$24.00,3.0,http://www.sephora.com/set-refresh-long-lasting-makeup-setting-spray-P408043,5.0
