category,brand_name,name,price,rating,url,num_review,score
Scalp & Hair Treatments,Phyto,Phytophanère Hair And Nails Dietary Supplement,30,4.1862,http://www.sephora.com/phytophanere-hair-nails-dietary-supplement-P2884,1193.0,957.8000000000001
Scalp & Hair Treatments,ALTERNA Haircare,CAVIAR CC Cream for Hair 10-in-1 Complete Correction,25,4.2898,http://www.sephora.com/caviar-cc-cream-for-hair-10-in-1-complete-correction-P378716,1019.0,818.1
Scalp & Hair Treatments,Madam C.J. Walker Beauty Culture,Dream Come True Wonderful Pre-Wash Protein Treatment,32,4.5899,http://www.sephora.com/dream-come-true-wonderful-pre-wash-protein-treatment-P407182,952.0,765.2
Scalp & Hair Treatments,ALTERNA Haircare,Bamboo Smooth Kendi Oil Dry Oil Mist,25,4.5501,http://www.sephora.com/bamboo-smooth-kendi-oil-dry-oil-mist-P278004,810.0,650.9
Scalp & Hair Treatments,Briogeo,"Don’t Despair, Repair!™ Deep Conditioning Mask",9,3.972,http://www.sephora.com/dont-despair-repair-deep-conditioning-mask-P388628,721.0,578.0000000000001
Perfume Gift Sets,Viktor & Rolf,Flowerbomb Travel Duo,35,4.4973,http://www.sephora.com/flowerbomb-travel-duo-P261810,928.0,746.3000000000001
Perfume Gift Sets,Elizabeth and James,Nirvana Mini Rollerball Set,25,4.4825,http://www.sephora.com/nirvana-mini-rollerball-set-P388655,144.0,118.10000000000001
Perfume Gift Sets,Commodity,Cocktail Kit,26,4.3917,http://www.sephora.com/cocktail-kit-P405907,121.0,99.80000000000001
Perfume Gift Sets,TOCCA,Girls On The Go,15,4.0556,http://www.sephora.com/girls-on-go-P396701,72.0,59.5
Perfume Gift Sets,Tory Burch,Tory Burch Mini Duo,20,4.5,http://www.sephora.com/tory-burch-mini-duo-P400568,70.0,58.4
Makeup Palettes,Urban Decay,Naked Palette,54,4.7768,http://www.sephora.com/naked-palette-P267200,7957.0,6371.400000000001
Makeup Palettes,Urban Decay,Naked2 Palette,54,4.6603,http://www.sephora.com/naked2-P302916,6545.0,5241.8
Makeup Palettes,Urban Decay,Naked3 Palette,54,4.4349,http://www.sephora.com/naked3-P384099,5476.0,4386.6
Makeup Palettes,Too Faced,Natural Eye Neutral Eye Shadow Collection,36,4.6597,http://www.sephora.com/natural-eye-neutral-eye-shadow-collection-P241303,4107.0,3289.6000000000004
Makeup Palettes,Anastasia Beverly Hills,Modern Renaissance Eye Shadow Palette,42,4.8266,http://www.sephora.com/modern-renaissance-eye-shadow-palette-P409118,4049.0,3243.8
Value & Gift Sets,Ole Henriksen,3 Little Wonders™,72,4.4105,http://www.sephora.com/3-little-wonders-P124716,1845.0,1483.6
Value & Gift Sets,Ole Henriksen,Power Bright™ 3-Step Professional Brightening System,55,4.508,http://www.sephora.com/power-bright-3-step-professional-brightening-system-P409830,1370.0,1101.9
Value & Gift Sets,CLINIQUE,Acne Solutions Clear Skin System Starter Kit,27,3.957,http://www.sephora.com/acne-solutions-clear-skin-system-starter-kit-P188308,1303.0,1045.4
Value & Gift Sets,SUNDAY RILEY,Power Couple Duo: Total Transformation Kit,85,4.3096,http://www.sephora.com/power-couple-duo-total-transformation-kit-P402718,668.0,543.3
Value & Gift Sets,Erno Laszlo,Detoxifying Double Cleanse Travel Set,28,4.5494,http://www.sephora.com/detoxifying-double-cleanse-travel-set-P413434,415.0,335.2
Curls & Coils,Bumble and bumble,Hairdresser’s Invisible Oil,22,4.5,http://www.sephora.com/hairdresser-s-invisible-oil-P375391,1344.0,1077.8
Curls & Coils,ALTERNA Haircare,CAVIAR CC Cream for Hair 10-in-1 Complete Correction,25,4.2898,http://www.sephora.com/caviar-cc-cream-for-hair-10-in-1-complete-correction-P378716,1020.0,818.9
Curls & Coils,Ouidad,Climate Control® Heat & Humidity Gel,26,4.2347,http://www.sephora.com/climate-control-heat-humidity-gel-P242148,969.0,778.2
Curls & Coils,Bumble and bumble,Hairdresser’s Invisible Oil Primer,12,4.5767,http://www.sephora.com/hairdresser-s-invisible-oil-primer-P386464,874.0,700.8000000000001
Curls & Coils,ALTERNA Haircare,Bamboo Smooth Kendi Oil Dry Oil Mist,25,4.5501,http://www.sephora.com/bamboo-smooth-kendi-oil-dry-oil-mist-P278004,810.0,650.9
Dryness,philosophy,Hope In A Jar,44,3.9925,http://www.sephora.com/hope-in-a-jar-P4633,6666.0,5337.5
Dryness,Josie Maran,100 percent Pure Argan Oil,16,4.518,http://www.sephora.com/100-percent-pure-argan-oil-P218700,6659.0,5329.200000000001
Dryness,First Aid Beauty,Ultra Repair® Cream Intense Hydration,6,4.5936,http://www.sephora.com/ultra-repair-cream-intense-hydration-P248407,5174.0,4140.2
Dryness,CLINIQUE,Dramatically Different Moisturizing Gel,5,4.4652,http://www.sephora.com/dramatically-different-moisturizing-gel-P122900,2929.0,2344.1000000000004
Dryness,CLINIQUE,Moisture Surge Extended Thirst Relief,12,4.4998,http://www.sephora.com/moisture-surge-extended-thirst-relief-P209117,2394.0,1916.8
Dark Spots,Ole Henriksen,Truth Serum®,48,4.3042,http://www.sephora.com/truth-serum-P42343,3209.0,2572.4
Dark Spots,KORRES,Wild Rose 24-Hour Moisturizing & Brightening Cream,38,4.4185,http://www.sephora.com/wild-rose-24-hour-moisturizing-brightening-cream-P61805,1511.0,1213.0
Dark Spots,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,48,4.2492,http://www.sephora.com/wild-rose-vitamin-c-advanced-brightening-sleeping-facial-P306883,1483.0,1191.6000000000001
Dark Spots,Murad,Rapid Age Spot and Pigment Lightening Serum,65,3.8718,http://www.sephora.com/rapid-age-spot-pigment-lightening-serum-P4009,1238.0,997.2
Dark Spots,SUNDAY RILEY,Good Genes All-In-One Lactic Acid Treatment,105,4.2953,http://www.sephora.com/good-genes-all-in-one-lactic-acid-treatment-P309308,1160.0,938.9
Hair Styling Products,Living Proof,Full Thickening Cream,15,4.1272,http://www.sephora.com/full-thickening-cream-P254603,2161.0,1730.7000000000003
Hair Styling Products,Bumble and bumble,Surf Spray,16,3.6327,http://www.sephora.com/surf-spray-P280513,2090.0,1673.9
Hair Styling Products,Drybar,Detox Dry Shampoo,13,3.8006,http://www.sephora.com/detox-dry-shampoo-P378169,1617.0,1295.2
Hair Styling Products,Living Proof,Prime Style Extender™,12,4.3771,http://www.sephora.com/prime-style-extender-P375668,1420.0,1137.6
Hair Styling Products,Bumble and bumble,Hairdresser’s Invisible Oil,22,4.5,http://www.sephora.com/hairdresser-s-invisible-oil-P375391,1344.0,1077.8
Shampoo,Living Proof,No Frizz Shampoo,10,4.1135,http://www.sephora.com/no-frizz-shampoo-P244509,706.0,566.2
Shampoo,Living Proof,Full Shampoo,10,4.1625,http://www.sephora.com/full-shampoo-P270706,567.0,455.0
Shampoo,Bumble and bumble,Thickening Shampoo,11,3.8064,http://www.sephora.com/thickening-shampoo-P280566,563.0,451.8
Shampoo,ALTERNA Haircare,CAVIAR Anti-Aging® Replenishing Moisture Shampoo,9,4.3067,http://www.sephora.com/caviar-anti-aging-replenishing-moisture-shampoo-P269705,542.0,434.90000000000003
Shampoo,Living Proof,Perfect Hair Day Shampoo,10,3.8152,http://www.sephora.com/perfect-hair-day-shampoo-P384533,527.0,422.90000000000003
Face Oils,Josie Maran,100 percent Pure Argan Oil,16,4.518,http://www.sephora.com/100-percent-pure-argan-oil-P218700,6659.0,5329.200000000001
Face Oils,Josie Maran,Argan Cleansing Oil,32,4.1003,http://www.sephora.com/argan-cleansing-oil-P283501,1651.0,1324.4
Face Oils,tarte,Maracuja Oil,15,4.4568,http://www.sephora.com/pure-maracuja-oil-P376726,1639.0,1313.1000000000001
Face Oils,Josie Maran,100 percent Pure Argan Oil Light,16,4.3986,http://www.sephora.com/100-pure-argan-oil-light-P380805,1280.0,1026.0
Face Oils,Fresh,Seaberry Moisturizing Face Oil,52,4.4502,http://www.sephora.com/seaberry-moisturizing-face-oil-P374948,1256.0,1010.4000000000001
Face Sunscreen,Laura Mercier,Tinted Moisturizer Broad Spectrum SPF 20,24,4.4306,http://www.sephora.com/tinted-moisturizer-broad-spectrum-P109936,4038.0,3233.2000000000003
Face Sunscreen,Laura Mercier,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,44,4.2898,http://www.sephora.com/tinted-moisturizer-broad-spectrum-oil-free-P140906,3867.0,3098.4000000000005
Face Sunscreen,Smashbox,Camera Ready BB Cream SPF 35,39,4.034,http://www.sephora.com/camera-ready-bb-cream-spf-35-P300339,3031.0,2429.1000000000004
Face Sunscreen,tarte,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,14,4.2799,http://www.sephora.com/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30-sunscreen-P377542,2900.0,2321.8
